Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_ter_Stegen  24 ger 21  1  1  1 30 396 100 100 100  42   0 3698   0 111  52   0   0   0   0   0   8   0   0 100
J_Cillessen   27 ned 20  1  1  1 30 278 100 100 100  14   4 1249   0  32  16   0   0   0   0   0   0   0   0 100
Jordi_Masip   28 esp 18  1  1  1 30 110 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gerard_Piqué  30 esp  1 21  1  1 30 100 783 689 728  47   4 3946   0   0   0  45   3  11   1   0  11   0   0 100
Jordi_Alba    28 esp  1 21 13  6 30 100 440  22 793  43   4 3726   0   0   0  43  37  23   2   5   8   0   0 100
M_Musacchio   26 arg  1 20  1  1 30 100 717 725 717  42   3 3884   0   0   0  41   3   6   1   2   3   0   0  88
J_Mathieu     33 fra  1 19  1  1 30 100 970 675 668  20   5 1698   0   0   0  11   1   0   0   0  11   0   0 100
Lucas_Digne   23 fra  1 19 11  5 30 100 748 884 799  27   2 2261   1   0   0  27  20  12   3   3   8   0   0 100
V_Chiriches   27 rou  1 19  1  1 30 100 623 690 696  24   0 2280   0   0   0  26   0   2   0   0   5   0   0 100
Kenny_Tete    21 ned  1 19  9  5 30 100 369 977 760  31   0 2833   1   0   0  32  29  13   1   4   3   0   0 100
Aleix_Vidal   27 esp  1 19 11  5 30 100 214 781 709  21   0 1915   2   0   0  23   9   7   0   2   6   0   0 100
D_Calabria    20 ita  1 18  9  4 30 100  40 704 691   3   0  284   1   0   0   5   2   1   0   0   0   0   0 100
S_Busquets    28 esp  1 18 21  2 30 100 988 765 777  41   2 3674   5   0   0  32  80  13   2   8   3   0   0 100
D_Pereira     25 por  1 18 20  1 30 100 710 593 694  27   2 2401   0   0   0  12  38   4   0   1   2   0   0 100
A_Iniesta     32 esp  1  7 22 15 30 100 646 989  53  49   6 3860   6   0   0  10  86  54   9  17   7   0   0 100
Ivan_Rakitic  29 cro  1  8 21 12 30 100 592 741 818  38   4 3053   1   0   0   5  62  27   3   4   9   0   0 100
André_Gomes   23 por  1 13 20  6 30 100 690 655 718  31   0 2862   1   0   0  12  47  16   0   2  12   0   0 100
Sergi_Roberto 25 esp  1 12 20  7 30 100 680  49 766  19   2 1634   0   0   0   9  31  13   1   3   4   0   0 100
Rafinha_Alc   24 bra  1  6 19 13 30 100 576 965 836  21   6 1532   1   0   0   1  23  16   4   2   3   0   0 100
R_Betancur    19 uru  1  9 18  8 30 100 648 286 719  20   2 1689   0   0   0   6  30  11   0   5   2   0   0 100
Lucas         24 bra  1  1 20 17 30 100 558 327 910  30  10 1899   0   0   0   0  27  35   5   1   6   0   0 100
Lionel_Messi  29 arg  1  1 21 24 30 100 574 115 139  67   8 4635  10   0   0   2  52 177  34   4  10   0   0  93
Neymar        25 bra  1  1 20 23 30 100 540 865 725  56  10 4001  11   0   0   1  26 163  29   2   6   0   0 100
Paulo_Dybala  23 arg  1  1 18 21 30 100 574 787 895  55  31 2988   6   0   0   1  15  98  20   0   4   0   0 100
Ahmed_Musa    24 nga  1  1  1 19 30 100 578 698 126   9   6  360   0   0   0   0   0   8   2   0   1   0   0 100
