Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Courtois    24 bel 23  1  1  1 30 758 100 100 100  56   1 5153   1 247  58   0   0   0   0   0   1   0   0 100
Keylor_Navas  30 crc 20  1  1  1 30 842 100 100 100   9   1  789   0  36  19   0   0   0   0   0   0   0   0 100
Eduardo       34 por 18  1  1  1 30 512 100 100 100   1   0   93   0  10   4   0   0   0   0   0   0   0   0 100
Gary_Cahill   31 eng  1 20  1  1 30 100 349  87  87  34   0 3100   0   0   0  49   1   3   0   0   5   0   0 100
C_Azpilicueta 27 esp  1 20 10  5 30 100 205 355 166  33   2 2821   1   0   0  41  39  14   2   1  14   0   0 100
John_Terry    36 eng  1 19  1  1 30 100 801  91 131  27   1 2468   0   0   0  37   1   6   1   0   3   0   0 100
Daley_Blind   27 ned  1 19 10  6 30 100 742 256 145  29   4 2491   0   0   0  27  24  16   1   1   6   0   0 100
Kurt_Zouma    22 fra  1 19  1  1 30 100 539 108 122  25   2 2295   0   0   0  29   1   3   1   1   2   0   0 100
Nathan_Aké    22 ned  1 18  1  1 30 100 499 117 101  17   2 1475   0   0   0  15   4   3   0   0   3   0   0 100
Kenedy        21 bra  1 18  9  4 30 100 177 267 167  23   0 2184   1   0   0  24  17   9   2   3   6   0   0 100
Todd_Kane     23 eng  1 17 10  5 30 100 636 175 116  17   0 1471   0   0   0   9  11   9   1   2  11   0   0 100
Ola_Aina      20 nga  1 16 10  5 30 100 736 147  99   7   4  421   0   0   0   9   7   1   0   0   1   0   0 100
N'Golo_Kanté  26 fra  1 18 20  1 30 100 330 489  67  50   9 3520   4   0   0  22  86   1   0  10  12   0   0 100
Thiago_Motta  34 ita  1 17 20  2 30 100 510 167 382  31   5 2341   1   0   0  17  60   4   0   6   7   0   0 100
M_Carrick     35 eng  1 18 20  1 30 100 378   6  96  32  10 2315   0   0   0  24  45   2   0   8   0   0   0 100
N_Chalobah    22 eng  1 15 18  2 30 100 276  78  71  37  10 2516   0   0   0  18  51   3   0   6   5   0   0 100
Cesc_Fàbregas 29 esp  1  8 20 12 30 100 170 955 357  41   8 2886   2   0   0   8  53  45   6   8   3   0   0 100
D_Drinkwater  27 eng  1 11 19  8 30 100 153 384 233  28  11 1819   2   0   0   7  25  19   4   3   3   0   0 100
Loftus-Cheek  21 eng  1  6 17 11 30 100 112 366 133  23  15  973   1   0   0   3  20  12   1   0   7   0   0 100
Eden_Hazard   26 bel  1  1 21 20 30 100  70 687 507  40   4 3249   4   0   0   0  56  84   8   5   5   0   0 100
Willian       28 bra  1  1 20 19 30 100  84 486 692  31   6 2284   3   0   0   0  31  69  15   3   3   0   0 100
Victor_Moses  26 nga  1  1 18 16 30 100  84 889 364  20   5 1448   1   0   0   1  21  47   5   1   4   0   0 100
C_Musonda     20 bel  1  1 18 17 30 100 108 667 263  21  11 1168   1   0   0   1  23  23   4   3   2   0   0 100
Diego_Costa   28 esp  1  1  1 21 30 100  86 113 436  36   3 3144   7   0   0   0   1 113  25   1   2   0   0 100
Chicharito    28 mex  1  1  1 20 30 100  94  82 129  32   4 2652   3   0   0   1   0  97  13   0   9   0   0 100
Pedro         29 esp  1  1 18 20 30 100  86 280  94  25   8 1715   2   0   0   0  22  49   9   2   2   0   0 100
