Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Joel_Robles   26 esp 19  1  1  1 30 940 100 100 100  41   0 3886   1 193  83   0   0   0   0   0   8   0   0 100
Stekelenburg  34 ned 18  1  1  1 30 485 100 100 100   3   1  221   0   7   5   0   0   0   0   0   0   0   0 100
L_Baines      32 eng  1 20 11  6 30 100 385 350 103  39   2 3222   1   0   0  55  38  14   1   2   3   0   0  93
A_Williams    32 wal  1 20  1  1 30 100  55  66  71  39   0 3330   0   0   0  33   4   4   1   0   6   0   0 100
S_Coleman     28 irl  1 19 11  7 30 100 988 193  93  30   1 2802   0   0   0  38  23  12   1   0   4   0   0 100
Phil_Jagielka 34 eng  1 19  1  1 30 100 633  93 116  30   2 2816   1   0   0  37   2   3   1   0   3   0   0 100
R_Funes_Mori  26 arg  1 18  1  1 30 100 848  82  60  25   5 1937   0   0   0  22   4   2   0   0  13   0   0 100
Luke_Garbutt  23 eng  1 17  9  4 30 100 420 210  84  22   4 1690   0   0   0  16  16   2   0   1   6   0   0 100
Mason_Holgate 20 eng  1 17  1  1 30 100 312  90 116  20   5 1533   0   0   0  18   2   3   1   0   2   0   0 100
M_Pennington  22 eng  1 16  1  1 30 100 732  87  80  10   5  532   0   0   0   6   1   0   0   0   0   0   0 100
Schneiderlin  27 fra  1 18 19  1 30 100 282 828  77  33   1 2893   0   0   0  18  46   3   0   0   7   0   0 100
Gareth_Barry  36 eng  1 18 19  1 30 100 234 344  90  17   1 1523   1   0   0  12  22   0   0   1   0   0   0 100
Muhamed_Besic 24 bih  1 17 18  1 30 100 200 560  98  14   7  811   0   0   0   6  16   0   0   0   1   0   0 100
Idrissa_Gueye 27 sen  1 12 19  7 30 100 152 696 135  23   1 1770   0   0   0   7  24   5   2   1   1   0   0 100
J_McCarthy    26 irl  1 12 19  7 30 100 118 543  90  32   5 2679   0   0   0   6  31  16   0   1   7   0   0 100
Tom_Davies    18 eng  1  6 16 10 30 100  86 935 165  12   2 1008   0   0   0   0   7   9   2   0   2   0   0 100
Ross_Barkley  23 eng  1  1 19 17 30 100  32 634 310  40  10 3077   1   0   0   1  42  57   5   3   5   0   0 100
Aaron_Lennon  29 eng  1  1 18 17 30 100  48 916 170  23   0 2167   0   0   0   1  30  24   2   1   7   0   0 100
Y_Bolasie     27 cod  1  1 18 17 30 100 104 875 154  13   0 1265   2   0   0   2  15  13   1   2   0   0   0 100
Romelu_Lukaku 23 bel  1  1  1 20 30 100  76  66 680  40   5 3281   3   0   0   2   2  81   9   0   9   0   0 100
K_Mirallas    29 bel  1  1 18 19 30 100  50 209 733  33   5 2566   0   0   0   0  17  56   3   2   5   0   0 100
E_Valencia    27 ecu  1  1  1 18 30 100  84  84 610  23   8 1456   1   0   0   0   0  21   4   0   3   0   0 100
Arouna_Koné   33 civ  1  1  1 18 30 100  66  73 444  15   6 1032   0   0   0   0   1  17   5   0   7   0   0 100
A_Lookman     19 eng  1  1 14 16 30 100  96 103 802   5   0  329   0   0   0   0   1   4   0   0   2   0   0 100
D_C-Lewin     20 eng  1  1  1 16 30 100  90  90 595   6   5  253   0   0   0   0   0   2   1   0   0   0   0 100
