Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Handanovic  32 svn 22  1  1  1 30 958 100 100 100  52   0 4932   1 226  87   0   0   0   0   0   2   0   0 100
J_P_Carrizo   32 arg 18  1  1  1 30 700 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tommaso_Berni 34 ita 17  1  1  1 30  80 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andrei_Radu   19 rou 16  1  1  1 30 624 100 100 100   4   1  304   0  12   8   0   0   0   0   0   0   0   0 100
Miranda       32 bra  1 21  1  1 30 100 328 418 460  39   5 3352   0   0   0  34   4   2   0   1   5   0   0 100
C_Ansaldi     30 arg  1 20 11  6 30 100 276 885 682  46   3 4051   2   0   0  50  50  25   5   7   5   0   0  98
J_Murillo     24 col  1 19  1  1 30 100 993 391 507  34   2 3105   0   0   0  38   2   4   1   0   9   0   0 100
L_Antonelli   30 ita  1 19 11  5 30 100 595 777 645  19   1 1730   1   0   0  23  17   3   0   1   1   0   0 100
M_Andreolli   30 ita  1 19  1  1 30 100 333 406 479  32   0 2915   0   0   0  30   2   3   0   0   4   0   0 100
Davide_Santon 26 ita  1 19 11  5 30 100 244 601 577  30   1 2618   2   0   0  33  29  16   3   2  11   0   0 100
D_D'Ambrosio  28 ita  1 19  9  5 30 100  10 561 529  27   1 2511   0   0   0  28  21  10   1   1   3   0   0 100
T_Sainsbury   25 aus  1 18  1  1 30 100 905 421 465  25   1 2269   0   0   0  26   4   3   0   1   6   0   0 100
Eloge_Yao     21 civ  1 17  1  1 30 100 816 422 518  13   5  816   0   0   0   4   2   1   1   0   6   0   0 100
Gary_Medel    29 chi  1 18 20  1 30 100 820 361 482  39   1 3297   1   0   0  29  64   2   0   4   9   0   0 100
Éver_Banega   28 arg  1  5 20 14 30 100 524 778 706  44   3 3654   3   0   0   3  67  42   4   5   6   0   0 100
M_Brozovic    24 cro  1 12 20  7 30 100 644 282 566  35   1 3078   4   0   0  14  55  21   1  12   2   0   0 100
João_Mário    24 por  1  7 20 12 30 100 388 165 438  25   0 2175   0   0   0   6  34  20   2   2   7   0   0 100
R_Gagliardini 22 ita  1 13 19  5 30 100 630 327 600  31   1 2838   1   0   0  13  56  20   2   2   8   0   0 100
Ivan_Perisic  28 cro  1  1 20 18 30 100 488 586 995  43   4 3529   3   0   0   1  50  76  11   2   2   0   0 100
A_Candreva    30 ita  1  1 19 18 30 100 534 971 956  32   6 2531   2   0   0   3  39  68  10   1   1   0   0 100
S_El_Shaarawy 24 ita  1  1 18 20 30 100 384 759 175  48   4 3690   3   0   0   0  45  94  16   6   8   0   0 100
G_Lapadula    27 ita  1  1  1 19 30 100 660 600 400  26   1 1955   1   0   0   0   0  49  11   0   5   0   0 100
Gabriel_B     20 bra  1  1 16 19 30 100 474 574 253  33   9 2431   2   0   0   0  20  58   9   2   3   0   0 100
J_Biabiany    28 fra  1  1 17 19 30 100 500 477  21  22  11 1313   0   0   0   1   7  27   4   1   6   0   0 100
G_Simeone     20 arg  1  1 12 18 30 100 756 731 888  16   9  794   0   0   0   0   5  12   2   0   2   0   0 100
P_Cutrone     19 ita  1  1  1 17 30 100 688 628 366  19  17  540   0   0   0   0   0   7   1   0   1   0   0 100
A_Pinamonti   17 ita  1  1  1 16 30 100 480 407 950  28  28  554   0   0   0   0   1  11   3   0   0   0   0 100
