Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Buffon      39 ita 23  1  1  1 30 562 100 100 100  51   0 4799   0 184  55   0   0   0   0   0   1   0   0 100
Neto          27 bra 19  1  1  1 30 992 100 100 100   8   1  685   0  23   9   0   0   0   0   0   0   0   0 100
Emil_Audero   20 ita 17  1  1  1 30 720 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Chiellini   32 ita  1 21  1  1 30 110 824 615 657  32   1 2808   0   1   0  29   0   5   0   0   6   0   0 100
L_Bonucci     29 ita  1 21  1  1 30 100 699 649 648  30   0 2718   2   0   0  33   3   4   0   1   2   0   0 100
A_Barzagli    35 ita  1 21  1  1 30 100 432 657 674  30   0 2760   0   0   0  26   1   0   0   0   1   0   0 100
Lichtsteiner  33 sui  1 20 11  7 30 100 879 842 753  41   2 3308   4   0   0  43  30  18   3   2  10   0   0 100
L_Kurzawa     24 fra  1 20 11  6 30 100 121 936 817  32   3 2825   1   0   0  36  31  17   4   4  11   0   0 100
D_Rugani      22 ita  1 19  1  1 30 100 975 628 643  24   2 2145   0   0   0  19   3   3   0   0  10   0   0 100
V_Lindelöf    22 swe  1 19  1  1 30 100 764 598 562  35   1 3081   0   0   0  28   0   4   0   0  19   0   0 100
A_Rüdiger     24 ger  1 19  1  1 30 100 634 399 377  23   1 2089   0   0   0  17   7   3   0   0   3   0   0 100
Sami_Khedira  29 ger  1 19 21  1 30 100  27 232 695  55   4 3888   2   0   0  36  94   7   2   9  19   0   3  97
Tomás_Rincón  29 ven  1 17 19  1 30 100 882 436 702  42  19 2483   0   0   0  18  37   5   1   2   3   0   0 100
Johannes_Geis 23 ger  1 16 19  2 30 100 482 296 388  27  13 1612   0   0   0  13  40   5   1   2  10   0   0 100
C_Marchisio   31 ita  1 13 21  7 30 100 758 567 820  34   0 3005   4   0   0  13  62  25   5   9  10   0   0 100
J_Kimmich     22 ger  1 13 20  6 30 100 784 116 651  30   3 2641   1   0   0  12  48  13   0   3   3   0   0 100
K_Asamoah     28 gha  1  7 20 12 30 100 714  16 794  21   2 1838   0   0   0   7  38  16   4   2  11   0   0 100
Mario_Lemina  23 gab  1 12 19  6 30 100 660 326 702  20   7 1343   0   0   0   2  27  10   0   0   3   0   0 100
S_Sturaro     24 ita  1 10 19  8 30 100 698 275 724   9   0  767   0   0   0   4  15   9   1   1   1   0   0 100
Oscar         25 bra  1  1 20 18 30 100 632 634 163  41  16 2713   3   0   0   0  43  58  12   4  10   0   0 100
Óliver_Torres 22 esp  1  1 19 17 30 100 672 811 112  30   4 2235   6   0   0   0  37  55  12   4   2   0   0 100
Davy_Klaassen 24 ned  1  1 19 18 30 100 354 621 584  17   7 1044   2   0   0   0  21  29   5   2   6   0   0 100
Max_Meyer     21 ger  1  1 19 17 30 100 354 248 603  24  11 1461   0   0   0   1  15  44   5   0   7   0   0 100
G_Lo_Celso    20 arg  1  1 18 17 30 100 650 861 930  23   9 1548   2   0   0   1  19  25   7   2   2   0   0 100
F_Mattiello   21 ita  1  1 18 15 30 100 652  62 699   4   1  322   0   0   0   0   0   7   0   0   0   0   0 100
Luis_Suárez   30 uru  1  1  1 23 30 100 566 566 147  50  10 3646   1   0   0   0   0 101  17   0   8   0   0 100
Arjen_Robben  33 ned  1  1 19 22 30 100 686 868 323  59  13 3950   6   0   0   2  18 146  25   4   2   0   0 100
André_Silva   21 por  1  1  1 19 30 100 648 643 705  36  17 2021   0   0   0   1   1  58   8   0   3   0   0 100
