Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Loris_Karius  23 ger 22  1  1  1 30 189 100 100 100  49   0 4570   1 217  71   0   0   0   0   0   0   0   0 100
S_Mignolet    29 bel 19  1  1  1 30 676 100 100 100   9   4  702   0  18   9   0   0   0   0   0   1   0   0 100
A_Manninger   39 aut 18  1  1  1 30 501 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ádám_Bogdán   29 hun 18  1  1  1 30 370 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joel_Matip    25 cmr  1 20  1  1 30 100 725 711 686  43   2 3135   0   0   0  36   5   2   0   0   7   0   0 100
N_Clyne       25 eng  1 20 12  6 30 100 616  49 758  45   2 3899   0   0   0  50  51  20   2   2  14   0   0 100
Dejan_Lovren  27 cro  1 20  1  1 30 100 597 687 722  46   3 3756   0   0   0  45   3   8   2   1  12   0   0 100
A_Moreno      24 esp  1 19 11  4 30 100 861 934 722  39   2 3346   3   0   0  40  32  11   1   2   5   0   0 100
Ragnar_Klavan 31 est  1 19  1  1 30 100 608 705 671  39  10 3017   0   0   0  34   5   1   0   0   5   0   0 100
Joe_Gomez     19 eng  1 18  1  1 30 100 326 697 682  31  13 2208   0   0   0  25   3   2   0   0   7   0   0 100
C_Randall     21 eng  1 16  8  4 30 100 802 756 718  22  12 1398   0   0   0  11   8   6   0   0   0   0   0 100
Lucas_Leiva   30 bra  1 18 20  1 30 100 892  66 676  34   6 2810   1   0   0  29  46   4   0   0   3   0   0 100
Emre_Can      23 ger  1 17 19  1 30 100 762 788 714  25   7 1854   1   0   0  14  29   1   1   5   3   0   0 100
Kevin_Stewart 23 eng  1 16 18  1 30 100 662 513 704  14   7  893   1   0   0   7  15   2   0   2   1   0   0 100
J_Henderson   26 eng  1 13 20  6 30 100 846 797 735  55   2 4071   2   0   0  28  81  19   2   8   5   0   0 100
James_Milner  31 eng  1  6 20 13 30 100 568 326 943  42   3 3677   2   0   0   3  62  50   5   8   9   0   0 100
Marco_Benassi 22 ita  1 10 19  8 30 100 734 976 840  29   8 2210   3   0   0  13  54  14   4   5   1   0   0 100
M_Dahoud      21 ger  1 11 19  7 30 100 686 817 782  23  13 1301   2   0   0  10  30  14   2   6   7   0   0 100
Marko_Grujic  20 srb  1  8 18  9 30 100 592 268 705   5   4  210   0   0   0   1   4   1   0   0   0   0   0 100
P_Coutinho    24 bra  1  1 21 20 30 100 556 560 208  42   0 3687   1   0   0   0  62  75  12   5   2   0   0 100
Adam_Lallana  28 eng  1  1 20 19 30 100 538 802 191  40   2 3570   3   0   0   0  69  68  13   2   6   0   0 100
G_Wijnaldum   26 ned  1  1 20 19 30 100 548 297   7  33   2 2690   3   0   0   1  43  52   7   4  12   0   0 100
Sheyi_Ojo     19 eng  1  1 17 14 30 100 580 308 777   8   6  355   1   0   0   0   4   7   2   0   0   0   0 100
R_Firmino     25 bra  1  1 15 21 30 100 552 910  22  45   1 3606   5   0   0   1  25  97  17   4   5   0   0 100
D_Sturridge   27 eng  1  1  1 20 30 100 524 647 802  51   9 3810   2   0   0   2   1  92  12   1  15   0   0 100
Sadio_Mané    24 sen  1  1 18 20 30 100 546 752 465  32  13 1901   1   0   0   1  14  45   9   0   8   0   0 100
Leo_Baptistão 24 bra  1  1  1 19 30 100 530 650 924  24  14 1236   0   0   0   0   0  44   2   0  10   0   0 100
Divock_Origi  21 bel  1  1 17 19 30 100 580 742 627  11   6  673   0   0   0   0   6  19   3   0   0   0   0 100
Danny_Ings    24 eng  1  1  1 19 30 100 570 690 243   7   7  196   0   0   0   0   0   8   1   0   0   0   0 100
