Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Anthony_Lopes 26 por 20  1  1  1 30 995 100 100 100  36   0 3293   0 140  45   0   0   0   0   0   1   0   0 100
M_Gorgelin    26 fra 17  1  1  1 30 459 100 100 100  13   3 1016   0  37  17   0   0   0   0   0   1   0   0 100
Lucas_Mocio   22 fra 16  1  1  1 30 566 100 100 100   3   2  191   0   2   2   0   0   0   0   0   0   0   0 100
Rafael_P      26 bra  1 19 11  5 30 100 351 266 174  28   1 2470   1   0   0  30  28  14   2   0  10   0   0 100
C_Jallet      33 fra  1 19 11  5 30 100  23 191  91  20   0 1872   1   0   0  20  17   7   0   0   9   0   0 100
Jesús_Vallejo 20 esp  1 18  1  1 30 100 934  75 114  27   1 2464   0   0   0  28   1   3   1   0   1   0   0 100
M_Yanga-Mbiwa 27 fra  1 18  1  1 30 100 816  71  80  21   2 1920   0   0   0  21   1   2   0   0   8   0   0 100
Jérémy_Morel  32 fra  1 18 11  5 30 100 681 272 140  31   3 2780   1   0   0  38  20  15   1   3   4   0   0 100
E_Mammana     21 arg  1 18  1  1 30 100 550 114 104  29   0 2719   1   0   0  32   4   6   0   0   7   0   0 100
Maciej_Rybus  27 pol  1 18  9  5 30 100 538 146  95  28   3 2428   1   0   0  28  12  13   0   0   9   0   0 100
M_Diakhaby    20 fra  1 18  1  1 30 100 183 117  82  26   0 2402   0   0   0  23   3   2   0   1   2   0   0 100
Jordy_Gaspar  19 fra  1 16 10  5 30 100 696 149 114  10   2  761   0   0   0   8   7   6   0   0   0   0   0 100
C_Tolisso     22 fra  1 14 19  5 30 100 272 767 140  33   1 3010   1   0   0  18  53  19   1   4  12   0   0 100
M_Gonalons    28 fra  1 18 19  1 30 100 386 508 105  44  17 2662   0   0   0  26  42   2   1   3   3   0   0 100
Rúben_Neves   20 por  1 16 18  2 30 100 546 897 324  26   7 1946   0   0   0  14  37   2   0   3   1   0   0 100
Lucas_Tousart 19 fra  1 17 18  1 30 100 348 571  86  37  17 1950   0   0   0  22  41   2   0   0   3   0   0 100
Jordan_Ferri  25 fra  1 10 18  8 30 100 210 758 141  21   0 1941   0   0   0  10  34  19   0   4   0   0   0 100
Houssem_Aouar 18 fra  1  6 17 10 30 100 134  61 252  38  17 1866   0   0   0   4  32  27   3   3   2   0   0 100
M_Valbuena    32 fra  1  1 19 17 30 100  66 880 305  35   3 2951   1   0   0   0  62  43   4   6  12   0   0 100
Nabil_Fekir   23 fra  1  1 19 17 30 100  68 487 390  44  18 2522   2   0   0   0  37  60   6   4   6   0   0 100
A_Lacazette   25 fra  1  1  1 21 30 100  76  98  16  43   8 3435   5   0   0   1   2 100  20   1   8   0   0 100
Memphis_Depay 23 ned  1  1 17 19 30 100  66 332 846  46  15 2958   9   0   0   2  30 111  24   4  14   0   0 100
R_Ghezzal     24 alg  1  1 16 18 30 100 100 153 884  37  18 1852   2   0   0   2  11  59   5   0   2   0   0 100
Maxwel_Cornet 20 fra  1  1 17 18 30 100  76 127 599  28   7 1829   2   0   0   1   9  50   7   0   8   0   0 100
Gaëtan_Perrin 20 fra  1  1  1 16 30 100  80  80 807   5   3  219   1   0   0   0   0   3   1   0   0   0   0 100
J-P_Mateta    19 fra  1  1  1 16 30 100 100 100 460   2   1  102   0   0   0   0   0   0   0   0   0   0   0 100
