Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Donnarumma  18 ita 22  1  1  1 30  78 100 100 100  64   0 5917   0 264  86   0   0   0   0   0   8   0   0 100
Marco_Storari 40 ita 19  1  1  1 30 133 100 100 100   5   4  219   0   6   1   0   0   0   0   0   0   0   0 100
A_Plizzari    17 ita 16  1  1  1 30 819 100 100 100   3   1  225   0   8   3   0   0   0   0   0   0   0   0 100
Thiago_Silva  32 bra  1 22  1  1 30 100 386 705 607  39   0 3428   0   0   0  54   6   7   0   1  16   0   0 100
R_Rodríguez   24 sui  1 20 11  6 30 100 698 919 647  46   0 4248   3   0   0  46  39  27   1   0  12   0   0  96
S_de_Vrij     25 ned  1 20  1  1 30 100 499 730 674  18   0 1694   0   0   0  28   1   2   0   0   6   0   0 100
A_Romagnoli   22 ita  1 20  1  1 30 100 356 694 611  42   2 3898   0   0   0  61   3   8   1   0  11   0   0 100
G_Paletta     31 ita  1 20  1  1 30 100 197 610 485  30   0 2837   0   0   0  37   4   7   0   0   9   0   0 100
M_De_Sciglio  24 ita  1 19 11  5 30 100 761 937 622  36   3 3348   2   0   0  53  29  19   1   4   3   0   0 100
Ignazio_Abate 30 ita  1 19 11  5 30 100 661 927 674  30   1 2531   2   0   0  29  35  17   3   1  19   0   0 100
C_Zapata      30 col  1 19  1  1 30 100 602 677 557  18   1 1544   0   0   0  21   1   3   0   0   5   0   0 100
Atsuto_Uchida 29 jpn  1 19 10  5 30 100 362 876 645  26   0 2348   0   0   0  35  22   9   2   2   4   0   0 100
Yuto_Nagatomo 30 jpn  1 19 11  6 30 100   1 585 483  25   1 2333   1   0   0  29  19  13   2   1   9   0   0 100
R_Montolivo   32 ita  1 16 19  2 30 100 770 619 561  27   1 2522   0   0   0   9  41   7   0   1   4   0   0 100
M_Locatelli   19 ita  1 15 18  2 30 100 544 713 341  29   0 2677   1   0   0  13  52   5   0   8   6   0   0 100
G_Bonaventura 27 ita  1  6 21 13 30 100 736  15 838  41   0 3782   1   0   0   7  86  48   6   7  14   0   0 100
Andrea_Pirlo  38 ita  1 12 20  7 30 100 976 960 593  41   0 3837   2   0   0  28  80  20   1  16  15   0   0 100
Axel_Witsel   28 bel  1 13 20  6 30 100 781 377 749  17   3 1342   1   0   0   6  21  13   2   4   3   0   0 100
Adrien_Rabiot 21 fra  1 12 20  7 30 100 798 283 739  30   1 2624   1   0   0  17  47  18   3   2   8   0   0 100
Juraj_Kucka   30 svk  1 12 19  6 30 100 770 663 615   9   0  804   1   0   0   6  15   4   1   3   1   0   0 100
Shinji_Kagawa 28 jpn  1  1 20 17 30 100 684 371 813  23   0 2153   3   0   0   0  38  33   4   2   3   0   0 100
Keisuke_Honda 30 jpn  1  1 19 16 30 100 670 746 926  32   0 2838   0   0   0   2  50  58   9   5  12   0   0 100
José_Sosa     31 arg  1  1 19 17 30 100 690 347 570   1   1   50   0   0   0   0   1   0   0   0   0   0   0 100
Z_Ibrahimovic 35 swe  1  1  1 22 30 100 626 713 921  42   2 3397   2   0   0   0   1  92  25   1   2   0   0 100
Carlos_Bacca  30 col  1  1  1 20 30 100 716 706 721  31   1 2745   1   0   0   2   2  77  11   0   4   0   0 100
G_Deulofeu    23 esp  1  1 19 20 30 100 668  22 399  34   1 3143   6   0   0   1  38  76  14   5  12   0   0 100
A_Belotti     23 ita  1  1  1 20 30 100 760 736 106  22  12 1271   0   0   0   2   0  30   3   0   7   0   0 100
Suso          23 esp  1  1 17 20 30 100 696 901 103  30   0 2767   1   0   0   1  31  53   5   0   3   0   0 100
A_Carrillo    25 per  1  1 17 19 30 100 722 749 496  19   0 1775   1   0   0   3   9  41   6   0   2   0   0 100
S_Okazaki     30 jpn  1  1  1 19 30 100 710 705 282  15   2 1269   0   0   0   1   1  37   3   0   1   0   0 100
