Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mattia_Perin  24 ita 21  1  1  1 30 483 100 100 100  33   0 3001   0 124  50   0   0   0   0   0   9   1   0 100
Pepe_Reina    34 esp 20  1  1  1 30 948 100 100 100  19   4 1558   0  74  28   0   0   0   0   0   1   0   0 100
Luigi_Sepe    25 ita 18  1  1  1 30 750 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Koulibaly   25 sen  1 20  1  1 30 100 755 583 698  28   0 2613   0   0   0  34   1   2   0   0   2   0   0 100
Raúl_Albiol   31 esp  1 20  1  1 30 100 572 563 705  27   0 2438   0   0   0  33   1   9   0   0   7   0   0 100
M_Darmian     27 ita  1 20 10  6 30 100 321 739 705  35   1 3203   1   0   0  43  22  15   0   2  10   0   0 100
Iván_Marcano  29 esp  1 20  1  1 30 100 279 558 700  31   6 2400   0   0   0  37   2   7   1   0  13   0   0 100
D_Criscito    30 ita  1 19 11  5 30 100 991 763 779  32   4 2716   2   0   0  39  20  17   2   4   6   0   0 100
L_Tonelli     27 ita  1 19  1  1 30 100 770 584 681  23   4 1838   0   0   0  22   4   1   0   0   7   0   0 100
F_Ghoulam     26 alg  1 19 11  5 30 100 739 710 770  22   4 1703   2   0   0  18  21  16   2   1   6   0   0 100
C_Maggio      35 ita  1 19  9  5 30 100  81 659 745  20   3 1606   0   0   0  16  13  12   1   0   6   0   0 100
J_Mascherano  32 arg  1 18 21  1 30 100 942 250 732  44   4 3733   3   0   0  19  92   7   1  12   3   0   0  97
Jorginho      25 ita  1 17 20  2 30 100 828 376 697  31   5 2563   1   0   0  12  56   5   0   8   3   0   0 100
Ander_Herrera 27 esp  1 12 20  7 30 100 796 718 754  31   0 2819   0   0   0  10  66  17   1   4   2   0   0 100
Allan         26 bra  1 12 19  7 30 100 710 990 712  31  10 1827   1   0   0   5  40  13   1   5   5   0   0 100
P_Zielinski   22 pol  1  6 19 12 30 100 718 930 925  35   3 2906   2   0   0   5  56  37   6  10   1   0   0 100
Bernardeschi  23 ita  1  1 20 19 30 100 672 105 131  34   4 2745   1   0   0   0  39  68  10   1   9   0   0 100
Bernard       24 bra  1  1 19 17 30 100 670 592 992  32   5 2349   2   0   0   0  23  47   7   4   5   0   0 100
E_Giaccherini 31 ita  1  1 19 17 30 100 680 420 867  20   7 1368   3   0   0   1  26  31   4   2   1   0   0 100
Dries_Mertens 29 bel  1  1 19 21 30 100 670 888 815  46   4 3893   5   0   0   0  34 115  25   5  10   0   0 100
L_Insigne     25 ita  1  1 18 21 30 100 680 748 557  33   0 2998   7   0   0   0  24 128  26   1   5   0   0 100
José_Callejón 30 esp  1  1 18 21 30 100 682 891 222  41   7 3354   6   0   0   2  39 121  22   4   6   0   0  93
A_Milik       23 pol  1  1  1 20 30 100 684 585 123  30   3 2490   2   0   0   0   3 100  14   0   8   0   0 100
