Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Rulli       24 arg 21  1  1  1 30 788 100 100 100  57   0 5367   0 237  98   0   0   0   0   0   2   0   0 100
Iker_Casillas 35 esp 19  1  1  1 30 761 100 100 100  10   2  802   0  26  15   0   0   0   0   0   0   0   0 100
José_Sá       24 por 18  1  1  1 30 450 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Maksimovic  25 srb  1 19  1  1 30 100 679  73  71  30   0 2138   1   0   0  40   2   3   0   0   3   0   0 100
Nacho_F       26 esp  1 19  1  1 30 100 584  93  80  28   0 2472   1   0   0  36   3   4   0   0  14   1   0 100
Felipe        27 bra  1 19  1  1 30 100 517  37  29  27   0 2471   1   0   0  27   2   1   0   0  16   0   0 100
Maxi_Pereira  32 uru  1 19 11  5 30 100 329 369 127  35   8 2756   0   0   0  33  31  10   1   4  14   0   0 100
G_Paulista    26 bra  1 19  1  1 30 100 203  72  77  29   8 2252   0   0   0  25   0   1   0   0   4   0   0 100
Rafinha       31 bra  1 19  9  5 30 100 135 260 153  24   7 1906   1   0   0  30  18  10   1   2   3   0   0 100
Alex_Telles   24 bra  1 19 11  5 30 100  43 190 165  21   4 1589   0   0   0  18  12   9   2   1   7   0   0 100
Ivan_Strinic  29 cro  1 18  9  5 30 100 286 160 110  14   6 1020   0   0   0   9   6   4   0   1   1   0   0 100
Xabi_Alonso   35 esp  1 16 19  3 30 100 430 971 123  32   4 2669   2   0   0  32  55   7   2   5   7   0   0 100
Miguel_Veloso 30 por  1 16 19  2 30 100 312 365  60  32   7 2488   0   0   0  21  52   0   0   7   0   0   0 100
H_Herrera     26 mex  1  7 19 12 30 100 188 682 291  42   2 3306   4   0   0   9  66  31   4   3  10   0   0 100
André_André   27 por  1  6 19 13 30 100 162 218 205  22   4 1810   1   0   0   8  33  20   3   6   2   0   0 100
M_Fernández   30 chi  1  6 19 12 30 100 140  30 196  20   2 1763   1   0   0   5  37  22   2   2   0   0   0 100
Lucas_Vazquez 25 esp  1  1 19 18 30 100 112 862 433  29   2 2618   1   0   0   3  38  54   7   4   2   0   0 100
Jesús_Corona  24 mex  1  1 19 18 30 100  86 397 274  22   1 1993   0   0   0   1  29  32   4   2   3   0   0 100
Otávio        22 bra  1  1 18 17 30 100  84 689 248  15   3 1202   1   0   0   0  15  20   4   0   3   0   0 100
M_Mandzukic   30 cro  1  1  1 20 30 100  74  69 293  39   5 3157   1   0   0   1   1  60  15   0   4   0   0 100
Wayne_Rooney  31 eng  1  1 17 20 30 100  60 212 222  33   1 2679   2   0   0   0  16  65  13   2  10   0   0 100
Y_Brahimi     27 alg  1  1 17 19 30 100  54 179 984  31   7 2138   2   0   0   0  15  68  12   1   3   0   0 100
Paco_Alcácer  23 esp  1  1  1 19 30 100  60  60  65  23  13 1354   1   0   0   0   0  33   4   0   5   0   0 100
F_Soares      26 bra  1  1  1 18 30 100  88  88 917  14   6  918   0   0   0   0   0  23   4   0   1   0   0 100
