Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Kevin_Trapp   26 ger 21  1  1  1 30 429 100 100 100  35   0 3333   0 156  61   0   0   0   0   0   0   0   0 100
Asmir_Begovic 29 bih 20  1  1  1 30 622 100 100 100  15   1 1325   0  71  27   0   0   0   0   0   0   0   0 100
Rémy_Descamps 20 fra 17  1  1  1 30 328 100 100 100   4   0  363   0  20   6   0   0   0   0   0   0   0   0 100
Dani_Alves    33 bra  1 20 11  5 30 100 899 812 654  26   2 2194   2   0   0  37  21   4   0   2  18   0   0 100
Marquinhos    22 bra  1 20  1  1 30 100 850 668 665  32   0 2787   1   0   0  51   3   5   0   0  19   0   0 100
David_Luiz    29 bra  1 20  1  1 30 100 567 428 396  31   1 2795   0   0   0  31   2   2   0   1   3   0   0 100
Serge_Aurier  24 civ  1 20 11  7 30 100 487 905 772  28   2 2531   1   0   0  35  27  22   2   3   7   0   0 100
Maxwell       35 bra  1 19  9  5 30 100 733 795 718  26   3 2419   1   0   0  25  19  16   0   0   4   0   0 100
Sime_Vrsaljko 25 cro  1 19 11  5 30 100 614 769 742  26   4 2161   0   0   0  20  15  17   1   0   3   0   0 100
P_Kimpembe    21 fra  1 19  1  1 30 100  38 688 705  19   1 1730   0   0   0  20   0   3   0   0   1   0   0 100
Emerson       22 bra  1 18 11  5 30 100 989 536 450  23   4 1760   1   0   0  28  19  17   1   2   6   0   0 100
D_De_Rossi    33 ita  1 18 20  1 30 100 728 418 415  36   3 3039   1   0   0  34  51   2   1   3   5   0   0 100
Rémi_Walter   21 fra  1 16 19  2 30 100 800 192 632  26   1 2381   1   0   0  15  43   4   0   8   5   0   0 100
Arturo_Vidal  29 chi  1 10 21 10 30 100 728 886 855  43   0 3596   3   0   0  17  78  35   4   6   8   0   0 100
Thiago        25 esp  1  7 21 14 30 100 718 725  18  40   3 3289   4   0   0  10  88  51   8   8  11   0   0 100
R_Nainggolan  28 bel  1 15 21  5 30 100 542 361 529  41   2 3558   0   0   0  19  68  14   4   8   3   0   0 100
A_Florenzi    26 ita  1  5 20 14 30 100 388 389 618  34   5 2834   0   0   0   5  60  42   4   7   6   0   0 100
Mario_Pasalic 22 cro  1 11 19  7 30 100 712 200 708  26   5 2102   3   0   0  10  44  18   2   2   4   0   0 100
C_Nkunku      19 fra  1  7 18 10 30 100 616 355 852  23   9 1521   2   0   0   4  31  25   3   2   6   0   0 100
Jesse_Lingard 24 eng  1  1 19 18 30 100 580 531  82  24   1 1996   1   0   0   1  19  61   9   3   1   0   0 100
V_Eysseric    25 fra  1  1 19 17 30 100 672 500 791  22   4 1823   3   0   0   3  29  24   3   5   2   0   0 100
Marko_Rog     21 cro  1  1 19 17 30 100 580 219 860  18   8 1127   0   0   0   1  20  24   4   2   1   0   0 100
Mohamed_Salah 24 egy  1  1 18 20 30 100 306 608 418  32   0 2756   7   0   0   0  26  81  14   3   7   0   0 100
M_Balotelli   26 ita  1  1  1 20 30 100 638 689 286  37   3 3204   1   0   0   3   1  77   8   1   4   0   0 100
D_Berardi     22 ita  1  1 18 20 30 100 688 866 159  16   1 1272   0   0   0   0  14  28   3   1   6   0   0 100
N_Castillo    24 chi  1  1  1 19 30 100 532 679 695  38   6 2874   1   0   0   0   1  86  15   1   9   0   0 100
H_Lozano      21 mex  1  1 17 19 30 100 696 881 412  17   6 1146   2   0   0   1  11  31   3   3   3   0   0 100
G_Guedes      20 por  1  1 17 19 30 100 526 846 293  30  17 1449   1   0   0   0  20  38   7   3   2   0   0 100
J-K_Augustin  19 fra  1  1  1 18 30 100 568 722 535  21  16  689   0   0   0   0   2  21   4   1   1   0   0 100
Bassem_Srarfi 19 tun  1  1 14 17 30 100 640 700 173   5   5   96   0   0   0   0   0   5   2   0   0   0   0 100
