Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jeroen_Zoet   26 ned 21  1  1  1 30 781 100 100 100  52   0 4881   0 292 105   0   0   0   0   0   6   0   0 100
Remko_Pasveer 33 ned 18  1  1  1 30 541 100 100 100   5   2  333   0  20   5   0   0   0   0   0   0   0   0 100
Hidde_Jurjus  23 ned 18  1  1  1 30 134 100 100 100   2   0  186   0  17   3   0   0   0   0   0   0   0   0 100
Luuk_Koopmans 23 ned 17  1  1  1 30 595 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Héctor_Moreno 29 mex  1 20  1  1 30 100  57 528 554  41   1 3451   0   0   0  42   3   6   1   0   9   0   0 100
Jetro_Willems 23 ned  1 19 11  5 30 100 482 852 576  37   1 3294   0   0   0  46  41  14   1   2   5   0   0 100
Isimat-Mirin  25 fra  1 19  1  1 30 100 158 521 511  33   1 2931   0   0   0  41   3   2   0   0  15   0   0 100
S_Arias       25 col  1 19 11  5 30 100 147 737 560  35   2 3098   0   0   0  33  26  12   1   3  15   0   0 100
Joshua_Brenet 23 ned  1 19 11  5 30 100  41 740 662  35   7 2857   1   0   0  41  21  14   3   3   6   0   0 100
D_Schwaab     28 ger  1 18  1  1 30 100 797 514 517  27   3 2286   0   0   0  26   2   4   0   0   5   0   0 100
Menno_Koch    22 ned  1 17  1  1 30 100 527 552 550  16   6 1130   1   0   0  18   1   1   0   0   0   0   0 100
S_Alberto     20 ned  1 16  1  1 30 100 892 555 555   5   1  316   0   0   0   6   0   0   0   0   0   0   0 100
J_Hendrix     22 ned  1 17 19  1 30 100 714 100 540  35   8 2589   0   0   0  25  53   7   0   1  13   0   0 100
A_Guardado    30 mex  1 11 20  8 30 100 742  60 632  40   1 3453   0   0   0  23  57  22   1   1   2   0   0 100
Davy_Pröpper  25 ned  1  8 19 10 30 100 548 579 709  27   1 2475   2   0   0   8  46  22   4   3   4   0   0 100
M_van_Ginkel  24 ned  1  8 19 10 30 100 596 400 614  34   3 2958   0   0   0  14  51  18   1   1   6   0   0 100
B_Ramselaar   20 ned  1  1 19 17 30 100 478 224 893  28   4 2272   5   0   0   1  36  49   7   3   2   0   0 100
Siem_de_Jong  28 ned  1  1 19 17 30 100 468 115 890  24   1 2224   1   0   0   0  26  52   7   1   6   0   0 100
O_Zinchenko   20 ukr  1  1 18 15 30 100 454 537 719  17   0 1558   1   0   0   0  24  18   4   1   3   0   0 100
R-P_Lundqvist 19 swe  1  1 17 14 30 100 478 215 642  12   7  590   0   0   0   0   6   7   2   1   1   0   0 100
Kenneth_Paal  19 ned  1  1 16 14 30 100 490 830 574   4   3  217   0   0   0   1   1   1   0   0   1   0   0 100
Luuk_de_Jong  26 ned  1  1  1 19 30 100 448 526 497  38   4 3284   1   0   0   2   1  86   9   0   3   0   0 100
G_Pereiro     21 uru  1  1 17 19 30 100 444 790 158  39   3 3073   4   0   0   1  29  70   8   3   9   0   0 100
J_Locadia     23 ned  1  1  1 18 30 100 450 545 841  20   6 1428   0   0   0   0   0  13   2   0   5   0   0 100
S_Bergwijn    19 ned  1  1 15 18 30 100 466 644  34  16   3 1257   0   0   0   0   9  23   0   1   2   0   0 100
Sam_Lammers   19 ned  1  1  1 17 30 100 480 582 487   9   2  619   0   0   0   0   1  17   2   0   0   0   0 100
