Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Ralf_Fährmann 28 ger 21  1  1  1 30 575 100 100 100  43   0 4007   0 204  73   0   0   0   0   0   2   0   0 100
Wellenreuther 21 ger 17  1  1  1 30 679 100 100 100   2   1  171   0   6   3   0   0   0   0   0   0   0   0 100
A_Nübel       20 ger 16  1  1  1 30 350 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Naldo         34 bra  1 20  1  1 30 100 249  68  49  31   2 2725   0   0   0  47   2   1   0   1   8   0   0 100
B_Höwedes     29 ger  1 20  1  1 30 100 130 122  64  32   4 2446   0   0   0  21   5   4   0   2  14   0   0 100
Coke          29 esp  1 19 11  6 30 100 614 303 199  28   0 2663   0   0   0  34  21  17   2   3   2   0   0 100
M_Nastasic    24 srb  1 19  1  1 30 100 439  54  58  27   4 2197   0   0   0  26   1   2   0   0   9   0   0 100
H_Badstuber   28 ger  1 19  1  1 30 100  57  90  81  18   2 1435   1   0   0  15   2   1   0   0  12   0   0 100
S_Kolasinac   23 bih  1 18  9  5 30 100 946 204  91  22   2 1751   0   0   0  18  12   3   0   2   5   0   0 100
A_Rahman_Baba 22 gha  1 18 11  5 30 100 864 223  74  24   1 1964   0   0   0  25  17   6   0   2   8   0   0 100
Dennis_Aogo   30 ger  1 18  9  5 30 100 426 154  92  12   1  978   1   0   0  11  10   8   0   1   8   0   0 100
Phil_Neumann  19 ger  1 16 10  5 30 100 218  87  80   8   7  247   0   0   0   4   1   0   0   0   0   0   0 100
Onyinye_Ndidi 20 nga  1 17 18  1 30 100 470 800 356  10   1  887   0   0   0   7  22   1   1   3   2   0   0 100
B_Stambouli   26 fra  1 17 18  1 30 100 266 791 133  15   2 1184   0   0   0  14  19   2   1   3   1   0   0 100
Schwensteiger 32 ger  1 12 19  7 30 100 166 832 102  24   0 2060   0   0   0   9  42   7   1   2   1   0   0 100
N_Bentaleb    22 alg  1 12 19  6 30 100 112  64 146  24   7 1671   1   0   0   3  21   8   2   2   2   0   0 100
Renato_S      19 por  1  7 18 11 30 100 126 795 237  27   1 2351   1   0   0   5  27  23   4   2   7   0   0 100
Andrea_Poli   27 ita  1 10 18  8 30 100  98 496 109   8   7  223   0   0   0   0   4   3   0   1   1   0   0 100
Arda_Turan    30 tur  1  1 20 18 30 100 372 451 710  39   3 2732   0   0   0   0  34  43   7   2   2   0   0 100
Y_Konoplyanka 27 ukr  1  1 19 18 30 100  90 381  90  29   0 2645   3   0   0   0  33  52  15   3   0   0   0 100
D_Caligiuri   29 ita  1  1 19 16 30 100 108  69 249  11   0 1045   1   0   0   1  16  21   4   3   2   0   0 100
A_Schöpf      23 aut  1  1 18 17 30 100  78 634 213  13   9  690   1   0   0   0   8  20   3   0   1   0   0 100
Donis_Avdijaj 20 kvx  1  1 17 15 30 100 100 770 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Villa   35 esp  1  1  1 20 30 100 452 440 220  14   1 1056   3   0   0   1   0  23  10   0   5   0   0 100
K_Coman       20 fra  1  1 17 19 30 100 384 550 885  39   7 2940   3   0   0   1  14  81  10   4   4   0   0 100
Sandro        21 esp  1  1  1 18 30 100 450 464 970  12   5  688   0   0   0   0   2   8   0   0   0   0   0 100
Marko_Pjaca   21 cro  1  1 16 18 30 100 366 442 891  28  15 1445   2   0   0   0   8  36   3   1   5   0   0 100
