Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sergio_Rico   23 esp 20  1  1  1 30 819 100 100 100  42   0 4008   0 183  80   0   0   0   0   0   1   0   0 100
David_Soria   23 esp 18  1  1  1 30  13 100 100 100   2   1  111   0  14   4   0   0   0   0   0   0   0   0 100
Miguel_Layún  28 mex  1 20 11  7 30 100 126 583 350  47   6 3051   0   0   0  36  29   9   1   1   5   0   0 100
Adil_Rami     31 fra  1 19  1  1 30 100 936  55  33  27   1 2320   0   0   0  34   1   1   0   1  21   0   0 100
B_Trémoulinas 31 fra  1 19 11  6 30 100 787 403 105  29   0 2711   4   0   0  36  34  11   0   5   5   0   0 100
D_Carriço     28 por  1 19  1  1 30 100 638  51  41  23   2 1841   0   0   0  19   3   3   0   0  25   0   0 100
N_Pareja      33 arg  1 19  1  1 30 100 530  62  48  24   3 2059   0   0   0  31   2   0   0   0  11   0   0 100
Mariano       30 bra  1 19  9  5 30 100 199 142  88  25   8 1874   0   0   0  26   8   2   0   0   7   0   0 100
S_Escudero    27 esp  1 19 11  5 30 100  82 214 175  16   1 1453   1   0   0  14  13   9   2   2   6   0   0 100
G_Mercado     30 arg  1 18  9  5 30 100 760 176 140  18   1 1650   0   0   0  24  12   7   1   0   4   0   0 100
C_Lenglet     21 fra  1 18  1  1 30 100 430  74 105  11   3  823   0   0   0  13   0   2   1   0   3   0   0 100
S_N'Zonzi     28 fra  1 17 20  2 30 100 264 153 120  34   6 2798   1   0   0  16  60   7   1   2   4   0   0 100
V_Iborra      29 esp  1 17 19  2 30 100 232 910 142  24   3 2082   1   0   0  13  42   4   2   5   2   0   0 100
M_Kranevitter 23 arg  1 14 18  4 30 100 146 729 113  15   8  868   0   0   0   4  13   3   0   2   1   0   0 100
M_Krohn-Dehli 33 den  1  7 19 12 30 100 188 796 168  22   0 1649   1   0   0   8  32  15   1   2   4   0   0 100
Samir_Nasri   29 fra  1  1 20 18 30 100  70  99 556  35   3 3029   3   0   0   0  44  63  11   5  10   0   0 100
Ganso         27 bra  1  1 19 17 30 100  44 381 389  24   1 2137   0   0   0   0  31  41   8   2  18   0   0 100
Pablo_Sarabia 24 esp  1  1 18 17 30 100  80 936 220  11   2  861   0   0   0   0   8  12   4   0   5   0   0 100
J_Correa      22 arg  1  1 18 16 30 100  90 250 107   9   0  883   0   0   0   0  10   5   0   2   0   0   0 100
W_Montoya     23 arg  1  1 17 15 30 100  90 104 768   4   0  358   0   0   0   0   2   4   0   0   5   0   0 100
Carlos_Vela   28 mex  1  1 18 20 30 100  72 364 266  45   3 3826   3   0   0   0  36  93  17   2   4   0   0 100
F_Vázquez     28 ita  1  1 17 19 30 100 104 265 724  29   5 2105   1   0   0   1  19  45   3   2   4   0   0 100
S_Jovetic     27 mne  1  1  1 19 30 100  98  74 490  25   9 1708   0   0   0   2   0  47   7   0   8   0   0 100
W_Ben_Yedder  26 fra  1  1  1 19 30 100 100  88 421  14   5 1001   0   0   0   1   0  11   2   0   1   0   0 100
Diogo_Jota    20 por  1  1  1 19 30 100 396 396 124  14   9  672   0   0   0   0   0  15   3   0   2   0   0 100
L_Vietto      23 arg  1  1  1 18 30 100 100 100 912   7   2  549   0   0   0   0   0   4   0   0   0   0   0 100
