Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Hugo_Lloris   30 fra 23  1  1  1 30 630 100 100 100  57   0 5169   0 241  89   0   0   0   0   0   7   0   0 100
Michel_Vorm   33 ned 20  1  1  1 30  51 100 100 100   7   2  638   0  39  17   0   0   0   0   0   0   0   0 100
Pau_López     22 esp 18  1  1  1 30 501 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alderweireld  28 bel  1 21  1  1 30 100 388 531 683  45   1 3628   0   0   0  50   2   5   1   0  14   0   0 100
J_Vertonghen  29 bel  1 20  1  1 30 100 971 524 644  43   1 3672   2   0   0  55   2   6   0   0  10   0   0 100
Kyle_Walker   26 eng  1 20 11  6 30 100 798 763 779  39   2 3408   1   0   0  53  26  23   2   2   7   0   1 100
V_van_Dijk    25 ned  1 20  1  1 30 100 792 524 649  36   1 3054   0   0   0  52   1   3   0   0  19   0   0 100
Danny_Rose    26 eng  1 20 10  6 30 100 614 774 789  43   3 3523   0   0   0  54  24  24   3   4  12   0   0 100
Kevin_Wimmer  24 aut  1 19  1  1 30 100 830 584 716  34   9 2645   0   0   0  42   4   3   1   0   7   0   0 100
Ben_Davies    23 wal  1 19  9  5 30 100 814 620 723  39  11 2792   1   0   0  42  20  13   4   1   5   0   0 100
K_Trippier    26 eng  1 19 11  6 30 100 438 670 731  20  15 1091   0   0   0  16  12   8   1   1   2   0   0 100
Eric_Dier     23 eng  1 17 19  1 30 100 861 959 686  47  17 3036   2   0   0  17  66   8   0   8   9   0   0 100
V_Wanyama     25 ken  1 17 19  1 30 100 854 653 678  29   7 2069   1   0   0  16  33   4   0   4   4   0   0 100
Mousa_Dembélé 29 bel  1 13 20  7 30 100 830 636 801  43   2 3567   1   0   0  15  78  28   3   6  10   0   0 100
M_Sissoko     27 fra  1  5 19 13 30 100 796 723 824  31   9 2343   1   0   0  10  41  30   2   4   7   0   0 100
C_Eriksen     25 den  1  1 21 20 30 100 666 146 184  37   1 3079   4   0   0   0  65  56  13   1   7   0   0 100
Dele_Alli     20 eng  1  1 20 19 30 100 654 415 125  44   3 3495   3   0   0   2  55  68  11   4  10   0   1 100
Érik_Lamela   25 arg  1  1 20 17 30 100 660 105 932  29   6 2299   1   0   0   0  35  38   6   3   5   0   0 100
Josh_Onomah   19 eng  1  1 18 15 30 100 700 312 813  10   9  431   2   0   0   0  16  10   3   4   0   0   0 100
Harry_Kane    23 eng  1  1  1 21 30 100 656 579 455  50   3 3758   3   0   0   1   5  89  15   1   3   0   0  96
C_Immobile    27 ita  1  1  1 20 30 100 646 516 333  35   2 2509   0   0   0   2   2  53   4   0   9   0   0 100
Heung-Min_Son 24 kor  1  1 17 19 30 100 696 684 828  33  13 1843   1   0   0   2  16  60   7   1   9   0   0 100
V_Janssen     22 ned  1  1  1 19 30 100 712 580 273  15  15  547   0   0   0   1   0  16   1   0   0   0   0 100
G-K_N'Koudou  22 fra  1  1 17 19 30 100 688 570 259  10  10  370   0   0   0   1   2  13   2   0   2   0   0 100
