Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Rui_Patrício  29 por 21  1  1  1 30 970 100 100 100  16   0 1525   0 102  32   0   0   0   0   0   0   0   0 100
A_Aréola      24 fra 20  1  1  1 30 457 100 100 100   6   0  596   0  30  13   0   0   0   0   0   1   0   0 100
Kiko_Casilla  30 esp 19  1  1  1 30 953 100 100 100   1   0   98   0   7   0   0   0   0   0   0   0   0   0 100
Sergio_Ramos  30 esp  1 22  1  1 30 100 709 819 822  11   0 1077   0   0   0  21   1   1   0   0   0   0   0 100
Marcelo       28 bra  1 21 13  7 30 100 701 311  45  12   0 1082   2   0   0  13  14  11   1   2   7   0   0 100
D_Carvajal    24 esp  1 21 12  6 30 100 456 177 958  12   0 1059   0   0   0  17  11   6   1   1   1   0   0 100
R_Varane      23 fra  1 21  1  1 30 100 416 838 835  13   2 1060   0   0   0  21   2   3   0   0   2   0   0 100
Juan_Bernat   24 esp  1 20 12  6 30 100 421 140   1   9   1  689   0   0   0  10   5   5   1   1   0   0   0  94
Hugo_Mallo    25 esp  1 20 11  6 30 100 104 552 266  12   3 1001   2   0   0  18  13   3   0   2   3   0   0  94
Nacho_F       26 esp  1 20  1  1 30 100  24 224 217  11   1 1020   0   0   0  13   0   2   0   0   2   0   0  94
Rúben_Vezo    22 por  1 19  1  1 30 100 411 963 949  12   1  974   0   0   0  16   2   0   0   0   1   0   0  94
Casemiro      25 bra  1 19 21  2 30 100  11 496 832  13   3  944   0   0   0   5  28   2   0   4   6   0   0 100
G_Krychowiak  27 pol  1 19 21  1 30 100  21  13 798  12   1  907   1   0   0   9  23   0   0   2   1   0   0  94
Luka_Modric   31 cro  1  7 23 15 30 100 757  13 254  14   2 1172   1   0   0   0  31  13   2   4   6   0   0 100
Toni_Kroos    27 ger  1 10 22 11 30 100 928 751 211  13   1 1103   0   0   0   3  29  13   1   2   2   0   0 100
Mateo_Kovacic 22 cro  1  7 20 13 30 100 880 879   4  13   5  833   0   0   0   4  17   9   1   2   2   0   0  94
Isco          24 esp  1  1 21 19 30 100 770 671 835  13   1 1142   1   0   0   0  26  22   4   3   1   0   0 100
J_Draxler     23 ger  1  1 21 18 30 100 709 329 425  13   1 1119   0   0   0   0  16  23   3   2   5   0   0 100
Marco_Asensio 21 esp  1  1 20 18 30 100 671 980 213  14   3 1108   1   0   0   0  16  21   0   1   0   0   0  94
Lucas_Vazquez 25 esp  1  1 20 18 30 100 243 270 652  10   3  755   0   0   0   0   9  12   2   2   2   0   0  94
C_Ronaldo     32 por  1  1 22 23 30 100 566  76 862  14   1 1257   5   0   0   0  17  62  11   2   0   0   0 100
R_Lewandowski 28 pol  1  1  1 23 30 100 714 865 419  13   2 1120   0   0   0   0   0  30   8   0   0   0   0 100
Álvaro_Morata 24 esp  1  1  1 21 30 100 686 813 437  15   4 1053   1   0   0   0   0  33   6   0   2   0   0  94
André_Silva   21 por  1  1  1 20 30 100 789 784 317  10   0  943   0   0   0   0   0  35   8   0   2   0   0  94
