Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
W_Szczesny    26 pol 21  1  1  1 30 808 100 100 100   3   0  280   0  17   7   0   0   0   0   0   0   0   0 100
Alisson       24 bra 19  1  1  1 30 739 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Raúl_Gudiño   21 mex 17  1  1  1 30 950 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Manolas     25 gre  1 20  1  1 30 100 538  93  72   2   0  187   0   0   0   0   0   0   0   0   0   0   0  88
Héctor_Moreno 29 mex  1 20  1  1 30 100 200 526 552   2   0  187   0   0   0   5   0   0   0   0   1   0   0  88
F_Fazio       30 arg  1 19  1  1 30 100 919  93  97   1   0   93   0   0   0   2   0   0   0   0   0   0   0 100
Bruno_Peres   27 bra  1 19 11  4 30 100 483 307 137   1   0   93   0   0   0   3   1   1   0   0   0   0   0 100
Emerson       22 bra  1 19 11  5 30 100 209 543 453   2   0  187   0   0   0   2   1   3   0   0   0   0   0  88
Mário_Rui     25 por  1 19 11  5 30 100 204 228 126   1   0   93   0   0   0   1   0   0   0   0   0   0   0 100
Juan_Jesus    25 bra  1 18  1  1 30 100 653  86  88   1   0   93   0   0   0   3   0   0   0   0   0   0   0 100
A_Nura        19 nga  1 16  8  4 30 100 720 203 115   2   0  187   0   0   0   2   5   1   0   0   0   0   0  88
C_Kramer      26 ger  1 17 19  1 30 100 268 398 100   2   0  187   0   0   0   1  12   2   0   2   0   0   0  88
Rafetraniaina 20 mad  1 14 17  2 30 100 781 806 603   1   0   93   0   0   0   3   2   1   0   1   0   0   0 100
Arturo_Vidal  29 chi  1 10 22 10 30 100 737  17 851   2   0  187   0   0   0   1   3   2   0   0   0   0   0  88
R_Nainggolan  28 bel  1 15 21  5 30 100 542 560 534   3   0  199   0   0   0   0   9   1   0   1   0   0   0  98
A_Guardado    30 mex  1 11 20  8 30 100 742 148 677   1   0   93   0   0   0   0   4   3   1   0   0   0   0 100
D_van_de_Beek 19 ned  1  7 18 10 30 100  98 324 140   3   3   81   0   0   0   0   2   4   0   1   0   0   0 100
Jesús_Corona  24 mex  1  1 19 18 30 100  86 531 285   1   0   93   0   0   0   0   2   7   0   0   0   0   0 100
J_Gallardo    22 mex  1  1 18 16 30 100 566 674 866   1   1   21   0   0   0   0   2   0   0   0   0   0   0 100
J_Manzaneda   23 per  1  1 18 16 30 100 820 399 897   3   0  214   0   0   0   0   7   9   2   0   0   0   0  96
B_Figueroa    17 mex  1  1 17 15 30 100 825 575 829   2   2   45   0   0   0   0   0   4   0   0   0   0   0 100
N_Castillo    24 chi  1  1  1 20 30 100 532 679  37   3   0  229   1   0   0   0   0  18   2   0   0   0   0  94
Leon_Bailey   19 jam  1  1 17 19 30 100 680 791 819   1   1   17   0   0   0   0   0   0   0   0   5   0   0 100
H_Lozano      21 mex  1  1 17 19 30 100 694 893 581   2   0  187   1   0   0   0   2  11   2   0   1   0   0  88
F_Totti       40 ita  1  1 12 19 30 100  70 174 214   1   1   16   0   0   0   0   0   0   0   0   0   0   0 100
F_Malbasic    24 srb  1  1 16 18 30 100 820 820 160   1   1   18   0   0   0   0   0   0   0   0   0   0   0 100
