Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Ralf_Fährmann 28 ger 21  1  1  1 30 866 100 100 100  18   0 1661   0  73  29   0   0   0   0   0   3   0   0 100
Wellenreuther 21 ger 17  1  1  1 30 929 100 100 100   2   2   66   0   0   0   0   0   0   0   0   0   0   0 100
A_Nübel       20 ger 16  1  1  1 30 630 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Höwedes     29 ger  1 20  1  1 30 100 437 267 296  12   0  883   0   0   0  11   1   4   2   0   1   0   0 100
A_Granqvist   31 swe  1 20  1  1 30 100 222 926 924  12   1  919   0   0   0  15   1   0   0   0   7   0   0 100
Naldo         34 bra  1 20  1  1 30 100 159 196 177  10   1  877   0   0   0  17   0   0   0   0   1   0   0  94
Marcos_Alonso 26 esp  1 20 11  6 30 100  59 952 912   9   1  695   1   0   0   6   3   6   1   0   5   0   0 100
Coke          29 esp  1 19 11  6 30 100 942 466 338  10   1  849   1   0   0  12   5   3   0   0   6   0   0 100
M_Nastasic    24 srb  1 19  1  1 30 100 804 193 234   8   3  535   0   0   0   6   2   1   1   0   0   0   0 100
G_Paulista    26 bra  1 19  1  1 30 100 614 223 279   9   0  860   1   0   0   8   0   2   1   0   2   0   0  94
S_Escudero    27 esp  1 19 11  5 30 100 352 426 379  10   1  857   0   0   0  12   8   9   1   1   5   0   0  94
H_Badstuber   28 ger  1 19  1  1 30 100 282 225 216  12   9  476   0   0   0   7   0   0   0   0   0   0   0 100
Fernandinho   31 bra  1 16 20  4 30 100  55 937 929  11   0 1046   1   0   0  11  24   3   1   1   0   0   0 100
Tomás_Rincón  29 ven  1 18 19  1 30 100 152 830 847   8   0  762   1   0   0  11  19   0   0   2   0   0   0  94
Rafinha_Alc   24 bra  1  6 20 14 30 100 827 515  69  14   2 1023   1   0   0   5  25  14   2   7   7   0   0  94
Allan         26 bra  1 12 20  7 30 100 867 473 929  13   1 1098   1   0   0   2  27   8   2   3   6   0   0 100
Dani_Ceballos 20 esp  1  8 19 10 30 100 459 692 352  15   0 1099   0   0   0   4  24   4   1   4   0   0   0 100
S_Rode        26 ger  1 13 19  5 30 100 935 502 846  13  12  400   0   0   0   4   6   0   0   0   0   0   0 100
Andrea_Poli   27 ita  1 10 18  8 30 100 247 656 244   1   0   94   0   0   0   1   0   1   0   0   0   0   0 100
Y_Konoplyanka 27 ukr  1  1 19 18 30 100 266 885 424  13   2 1109   2   0   0   1  24  24   4   6   1   0   0 100
Pablo_Sarabia 24 esp  1  1 19 17 30 100 198 254 526  11   2  902   1   0   0   0  16  19   5   1   6   0   0  94
K_Coman       20 fra  1  1 17 20 30 100 529 764 670  12   2  892   1   0   0   0   7  30   5   1   0   0   0  94
Gabriel_Jesus 19 bra  1  1 11 20 30 100 667 879  93  19   3 1352   1   0   0   0   6  32   8   0   1   0   0 100
Sandro        21 esp  1  1  1 19 30 100 595 609 362  11   5  665   0   0   0   0   0  26   3   0   0   0   0 100
Mariano_Díaz  23 dom  1  1  1 19 30 100 963 970 186  10   6  495   0   0   0   0   1   7   2   0   1   0   0 100
Marko_Pjaca   21 cro  1  1 16 19 30 100 506 589 175   4   2  226   0   0   0   0   1   4   1   0   0   0   0 100
