Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Ederson       23 bra 22  1  1  1 30 222 100 100 100  21   0 1825   0  53  25   0   0   0   0   0   1   0   0 100
Júlio_César   37 bra 19  1  1  1 30 597 100 100 100   8   2  677   0  20  16   0   0   0   0   0   0   0   0 100
Serge_Aurier  24 civ  1 20 12  8 30 100 964 163  38  23   0 1692   0   0   0  17  12  13   1   0   8   0   0  93
C_Smalling    27 eng  1 20  1  1 30 100 759 552 523  16   1 1397   0   0   0  13   2   3   0   1  10   0   1 100
Jardel        31 bra  1 20  1  1 30 100 556 871 864  14   0 1367   0   0   0  18   0   0   0   0   1   0   0 100
M_De_Sciglio  24 ita  1 20 12  5 30 100 321 256 800  22   4 1830   1   0   0  18  23   3   0   0   1   0   0  93
A_Grimaldo    21 esp  1 20 12  5 30 100 231 259 911  17   3 1390   1   0   0  12  14   4   0   0   0   0   0  93
Kenny_Tete    21 ned  1 20 10  6 30 100  61 245 133  17   3 1336   0   0   0  15   8  13   4   1   0   0   0  93
Frank_Fabra   26 col  1 19 12  4 30 100 602 136 999  15   9  876   0   0   0  12   7   5   0   0   1   0   0 100
D_Sinkgraven  21 ned  1 19 10  5 30 100  64 964 955   5   0  510   0   0   0   6   2   3   0   0   2   0   0 100
L_Fejsa       28 srb  1 19 20  1 30 100 173 861 816  21   4 1640   0   0   0  17  39   3   0   1   4   0   0 100
A_Samaris     27 gre  1 17 20  1 30 100 974 100 813  14   2 1165   0   0   0  11  34   2   0   3   7   0   0 100
F_Augusto     23 bra  1 17 19  1 30 100 992 917 893  10   5  573   0   0   0   4  16   1   0   0   6   0   0 100
L_Torreira    21 uru  1 17 19  3 30 100 114 613   6  12   0 1071   1   0   0   5  14   3   0   3   5   0   0  93
Adrien_Rabiot 21 fra  1 12 21  8 30 100 961 108  71  22   0 1777   0   0   0   0  48  16   3   5   6   0   0  93
L_Paredes     22 arg  1  7 19 11 30 100 415 537 486  11   0 1081   0   0   0   5  13   5   0   0   2   0   0 100
Rafa_Silva    23 por  1  1 20 18 30 100 704 559 493  17   0 1612   3   0   0   0  26  39   4   6   2   0   0  76
Toto_Salvio   26 arg  1  1 20 19 30 100 788 372 230  10   0  992   0   0   0   1   8  26   4   1   3   0   0 100
Franco_Cervi  22 arg  1  1 19 18 30 100 766 832 152   4   0  414   0   0   0   0   4   6   2   0   0   0   0 100
G_Lo_Celso    20 arg  1  1 19 18 30 100 848 317 189   9   0  846   0   0   0   1   4  20   1   1   0   0   0  93
Dries_Mertens 29 bel  1  1 20 22 30 100 867 120 632  22   0 1856   5   0   0   1   9  75  14   0   8   0   0  75
F_Vázquez     28 ita  1  1 17 20 30 100 282 540 180  15   5 1084   0   0   0   0  11  37   4   1   1   0   0 100
Lucas_Ocampos 22 arg  1  1 16 20 30 100 711 922  13   6   2  314   1   0   0   0   1  11   3   0   1   0   0 100
Raúl_Jiménez  25 mex  1  1  1 19 30 100 767 882 677   4   4  128   0   0   0   0   0   4   0   0   0   0   0 100
J-K_Augustin  19 fra  1  1  1 18 30 100 748 902 835   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
