Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Hugo_Lloris   30 fra 23  1  1  1 30 855 100 100 100  25   0 2331   0 125  41   0   0   0   0   0   2   0   0 100
Michel_Vorm   33 ned 20  1  1  1 30 285 100 100 100   4   1  319   0  22   5   0   0   0   0   0   1   0   0 100
Pau_López     22 esp 18  1  1  1 30 781 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Kompany     30 bel  1 21  1  1 30 100 935 835 849  20   0 1561   0   0   0  29   0   2   0   0   6   0   0 100
Alderweireld  28 bel  1 21  1  1 30 100 853 691 844  20   2 1662   0   0   0  24   1   4   0   0   1   0   0 100
J_Vertonghen  29 bel  1 21  1  1 30 100 489 711 837  20   0 1788   1   0   0  26   1   5   0   0   5   0   0  93
V_van_Dijk    25 ned  1 21  1  1 30 100 378 684 822  21   3 1693   0   0   0  29   1   3   0   0  11   0   0  93
Kyle_Walker   26 eng  1 21 12  6 30 100 294  74 966  18   2 1515   0   0   0  16  13   7   0   2   6   0   0  88
Ben_Davies    23 wal  1 20  9  5 30 100 484 924 996  19   6 1370   0   0   0  16  16   6   2   1   8   0   0 100
Kevin_Wimmer  24 aut  1 20  1  1 30 100 391 774 906  16   6 1044   0   0   0  22   1   3   0   0   1   0   0 100
K_Trippier    26 eng  1 19 11  6 30 100 744 864 899  10   8  498   0   0   0   8   4   2   0   0   2   0   0 100
Eric_Dier     23 eng  1 18 20  1 30 100 134 696 859  18   3 1241   1   0   0   9  25   1   0   2   6   0   0 100
Mousa_Dembélé 29 bel  1 13 21  8 30 100 984 134  45  21   5 1427   0   0   0   1  28  12   2   2   6   0   0 100
M_Sissoko     27 fra  1  5 20 14 30 100 996 179  59  15   6 1019   1   0   0   1  21  11   1   3   2   0   0 100
C_Eriksen     25 den  1  1 21 20 30 100 829 852 509  20   0 1714   2   0   0   0  41  32   3   6   1   0   0  88
Dele_Alli     20 eng  1  1 21 19 30 100 850 213 419  20   1 1609   2   0   0   1  28  21   3   2   6   0   0  88
Érik_Lamela   25 arg  1  1 20 18 30 100 812 630 148  14   2 1105   1   0   0   0  27  11   1   2   9   0   0 100
C_Cueva       25 per  1  2 20 17 30 100  15 204  57  16   2 1284   0   0   0   1  17  18   1   1   1   0   0 100
Josh_Onomah   19 eng  1  1 18 16 30 100 888 674  53   9   9  339   1   0   0   0   5   8   1   1   1   0   0 100
Sergio_Agüero 28 arg  1  1  1 23 30 100 786 836 763  23   2 1813   2   0   0   3   0  57  14   0   3   0   0 100
C_Immobile    27 ita  1  1  1 20 30 100 832 709 919  18   1 1360   0   0   0   0   1  34   9   0   2   0   0  93
Heung-Min_Son 24 kor  1  1 17 20 30 100 847 918 317  20   8 1162   1   0   0   0   9  30   5   1   2   0   0  88
V_Janssen     22 ned  1  1  1 19 30 100 887 755 646   9   8  318   0   0   0   0   0  11   3   0   0   0   0 100
G-K_N'Koudou  22 fra  1  1 17 19 30 100 868 764 535   5   5  166   0   0   0   0   2   2   0   0   0   0   0 100
