Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sergio_Asenjo 27 esp 21  1  1  1 30 585 100 100 100  16   0 1517   0  65  23   0   0   0   0   0   0   0   0 100
Andrés_Fdez   30 esp 18  1  1  1 30 965 100 100 100   2   0  187   0   6   3   0   0   0   0   0   0   0   0 100
Víctor_Ruiz   28 esp  1 21  1  1 30 100  52 785 768  13   1 1084   0   0   0  17   2   4   0   0   7   0   0 100
Mario_Gaspar  26 esp  1 20 12  6 30 100 973 145 961  17   1 1396   0   0   0  21  10   6   2   0   0   0   0  92
Ó_de_Marcos   27 esp  1 20 12  6 30 100 632 265 918  17   4 1259   0   0   0  11  23   9   0   1   2   0   0  92
Jaume_Costa   29 esp  1 20 12  6 30 100 464 220 968  13   1 1087   1   0   0  17  12   6   0   2   1   0   0  92
Á_González    27 esp  1 19  1  1 30 100 726 808 802   8   2  653   0   0   0   7   1   1   0   0   1   0   0  98
José_Ángel    27 esp  1 19 12  5 30 100 433 215 871  13   6  734   1   0   0  11   9   2   0   1   6   0   0 100
A_Barreca     22 ita  1 19 11  5 30 100 227 964 994  10   1  729   0   0   0  14   4   5   1   0  12   0   0 100
Bruno_Soriano 32 esp  1 19 21  1 30 100 241 412 868  10   0  930   1   0   0  12  27   2   0   4   8   0   0  92
Thomas        23 gha  1 18 19  1 30 100 236 913 816  11   3  817   0   0   0   6  15   1   0   1   2   0   0 100
R_Hernández   20 esp  1 15 18  2 30 100 832 733 814   3   3   63   0   0   0   1   1   0   0   0   0   0   0 100
M_Trigueros   25 esp  1  6 21 14 30 100 838 223 226  16   0 1293   3   0   0   3  27  21   5   4   1   0   0  92
R_Soriano     26 ita  1  7 20 13 30 100 761 810  45  16   3 1232   2   0   0   1  27  20   1   3   3   0   0  92
Remo_Freuler  24 sui  1  9 18  8 30 100 992 953 991   9   2  653   0   0   0   3  13   4   1   2   6   0   0 100
C_Grenier     26 fra  1  6 18 12 30 100 282 840 395   7   7  154   0   0   0   1   3   0   0   1   0   0   0 100
T_Hazard      24 bel  1  1 20 19 30 100 698 688 747  11   0 1045   2   0   0   0  15  34   4   2   2   0   0  92
J_dos_Santos  26 mex  1  1 20 18 30 100 808 520 231   8   0  761   1   0   0   2  12  18   2   1   1   0   0 100
G_dos_Santos  27 mex  1  1  1 21 30 100 706 814 319  16   0 1124   0   0   0   0   0  22   4   0  10   0   0 100
C_Bakambu     25 cod  1  1  1 20 30 100 704 838 906  12   0 1055   1   0   0   0   0  41   6   0   2   0   0  92
N_Sansone     25 ita  1  1  1 20 30 100 705 825 122  12   9  431   0   0   0   0   0  14   3   0   5   0   0 100
Alessio_Cerci 29 ita  1  1 16 19 30 100 703 942 447  11   6  604   0   0   0   0   5  13   1   0   0   0   0 100
Santos_Borré  21 col  1  1  1 19 30 100 666 786 141   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
